"","OR","2.5 %","97.5 %"
"(Intercept)",3.47212641603324,1.84457604553545,6.53573588255952
"Elevation",1.0010686657507,1.0004719903542,1.00166569700076
"Hydrography",1.00007180130271,1.00001724759377,1.0001263579877
"LULC4",0.885743413384441,0.671112923986541,1.16901547610437
"LULC9",1.67451644859191,0.642121913749473,4.36678032093895
"LULC12",0.89098013730018,0.659438165016479,1.20382114226527
"LULC15",0.42790376314561,0.30081713061687,0.608680862485116
"LULC25",1.14243618935473,0.469719698422041,2.77859423637516
"LULC41",1.7028456632063,1.06102749523849,2.7329012355601
"NDVI",0.0138719616025939,0.00724250069755406,0.0265697342312757
"Pop_dens",0.946519370355898,0.919590744923061,0.974236554037831
"Road",1.00013741059231,1.00011252374168,1.00016229806223
"Slope",1.05423552028522,1.03665741685776,1.07211168719545
