HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;Temperature;RH;Precipitation;Wind Speed;FMC;DMC;DC;fwi;initialSpread;buildUpIndex;dailySeverityRating;year
0;672,9704257;2,136711492;0,514595246;13256,49384;388,8889422;2,507019997;1437,998323;4;20,65901789;35,41230629;5,683363961;9,879287235;24,2967747;194,1804705;321,6756076;0,466013312;2,012121202;224,8444286;4,416722698;2005
0;729,7733098;1,486857543;0,618507783;654,3124216;1251,411205;1,103440046;1269,202013;4;25,40938735;82,14811198;4,218350693;5,846615699;25,52017993;115,1216172;930,7889992;36,42190357;1,580278403;92,93754045;1,394466558;2005
0;804,9700476;1,460164792;0,441397778;2652,398243;2720,04249;0,48012501;11220,53656;12;24,86250731;44,77796247;2,179993394;7,449036932;50,90697901;139,0826255;802,9746176;8,410126861;11,70548808;30,81809519;13,30216619;2005
0;820,7444583;1,261179268;0,480230209;4519,711921;935,9438387;0,802272975;7695,526622;12;22,223211;93,69581523;2,12783584;8,89057903;72,86570945;159,5237883;483,771169;13,05444886;4,958196965;186,2033913;10,26585821;2005
0;718,3885457;1,666202637;0,64736;1075,054727;1689,697687;0,672481;1391,775782;4;26,84419971;35,41697667;12,46145892;13,31257699;86,62413923;164,0739821;166,4183271;4,919930246;1,319297449;222,4503083;13,03402201;2005
0;752,7615323;2,589295752;0,50969375;7672,949682;274,7622693;0,48012501;4755,016449;12;24,28844476;82,96421062;17,92539746;5,680818628;37,54968408;101,7197154;60,96480235;40,34994061;11,0566903;250,2083308;7,582395412;2005
0;829,6785552;0,948256639;0,436074443;2467,580078;2380,587138;0,624432227;7401,769945;12;25,34863598;75,17502197;24,10275638;7,665653009;64,40456379;48,34654878;517,3890831;32,27182468;7,036656659;263,9053028;17,13990191;2005
0;727,1176303;2,294161031;0,526896667;10606,65894;561,2097067;0,48012501;1371,455121;4;20,94668349;47,68368105;29,74830528;14,79300481;53,20376037;181,4085201;571,4018039;1,731682069;10,49295174;71,39182238;0,529802164;2005
0;800,6036709;6,660074195;0,56914445;5851,618751;111,835633;0,48012501;7358,246166;4;30,01283759;84,38193043;8,539675589;7,411938616;50,93049155;69,33351195;302,456267;35,31532342;9,973280109;261,2198689;20,67466106;2005
0;773,3992117;6,121564017;0,466277377;9615,082126;330,4398769;2,507019997;4340,899702;4;20,58930544;72,38662236;12,75612268;9,496875218;37,42686079;7,682003026;618,5527734;42,63424446;11,65843586;263,005032;16,99749386;2005
0;738,0112329;3,437505182;0,490917857;5233,791844;531,4786242;0,48012501;2547,215268;12;23,48800725;61,03531629;15,41221253;11,38051493;53,95493014;212,3849993;674,4892699;43,25931967;3,909087988;79,29721531;12,48552013;2005
0;806,3588976;0,90478612;0,473941113;581,1026043;5005,281923;0,48012501;12567,44189;12;24,97078838;55,51633691;24,93245876;3,717515381;14,98257385;50,51431953;135,4556806;42,25427644;4,885761036;224,8582781;13,48493172;2005
0;800,0346527;1,268668626;0,437194791;3399,318512;2031,894906;0,48012501;6274,298122;12;27,65032254;74,76018409;9,882026084;15,07521746;23,25574091;94,62094934;407,4309234;38,16716285;6,67888799;91,42052921;2,31116994;2005
0;719,9588618;1,818079476;0,631551196;4080,640901;1121,810571;0,672481;4543,866945;4;26,6506163;70,48832236;18,03546297;5,034348086;87,88511837;209,6413318;429,7009047;18,04398122;11,41739505;66,94715145;17,69078082;2005
0;833,0224293;1,290744395;0,427582215;1877,277497;1414,757563;0,48012501;10534,94931;12;23,89154349;64,47570875;0,154797983;5,978870521;23,29558152;210,9879585;925,0678495;11,02743602;5,948167082;34,42843088;5,672256091;2005
0;659,1001213;1,786353706;0,51705;7939,7816;951,7554866;2,220340014;565,2718689;4;20,37865947;54,15511415;11,05708717;4,086175919;33,00632333;135,8057596;542,209019;25,65409873;4,155382695;213,7226592;5,230339356;2005
0;825,1476184;1,105828541;0,372083332;933,5797387;4891,136753;0,895577013;11768,53263;12;28,95800943;68,10314447;6,904745052;15,60458858;89,15364639;57,68818498;334,7991646;37,46436111;11,62560304;25,17978719;20,9667969;2005
0;793,0505878;4,574457862;0,482633337;8130,96649;492,8748121;2,507019997;5664,691107;4;28,01950929;50,05105688;20,43880354;13,46729976;49,89902256;125,0244785;905,8089179;37,14390562;11,67776008;28,41151614;12,30994206;2005
0;716,3162516;2,109477083;0,379401189;7791,580323;257,3297634;0,802272975;5984,119028;12;27,39203889;68,9684879;14,9168599;5,330735646;82,85359633;178,9186513;323,028339;12,64516203;2,290273542;134,210266;18,98021777;2005
0;688,6054895;1,146637812;0,586044447;11306,94302;215,3054494;0,48012501;423,5128221;4;18,34437122;61,80198886;0,783577835;9,502435865;57,74113365;116,80777;309,930903;41,82645424;12,8934166;198,5615024;6,532747755;2005
