HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;Temperature;RH;Precipitation;Wind Speed;FMC;DMC;DC;fwi;initialSpread;buildUpIndex;dailySeverityRating;year
0;591,0544117;1,258121118;0,059105441;769,5699362;1771,458103;3,336469889;3538,986609;4;21,76515989;68,19621061;32,06699896;16,04626026;81,65241806;63,7273723;120,4589037;6,420800449;10,55064549;191,1402648;24,25426509;2005
0;788,7894916;2,865744047;0,078878949;237,175039;1267,373159;3,122620106;2694,276571;4;22,96604927;63,77430336;26,25872135;9,891823929;40,48230528;208,0642439;870,0614074;15,32339384;12,23977394;240,2226117;4,833721348;2005
0;763,3862597;2,252912381;0,076338626;1192,373341;285,2843457;0,895577013;4501,737139;4;22,13134146;42,46165097;35,87840749;14,51874194;33,34500658;210,1634515;235,3925584;3,359334917;0,426227912;103,4395414;11,55659666;2005
0;695,695284;1,749816585;0,069569528;4463,690887;3905,789842;1,338879943;3580,946452;4;20,38046388;77,95081034;12,61715072;15,16778885;20,19246012;15,37710517;693,7638481;23,06672154;12,30381053;70,79055261;23,37802961;2005
0;780,7666088;1,739201304;0,078076661;2424,738043;474,7030538;0,895577013;3444,160541;4;26,2267778;61,89174738;20,99938773;14,17858423;44,35175282;83,19677876;322,8289982;20,78071082;2,713620286;4,03731817;19,29894471;2005
0;695,6885971;1,561238448;0,06956886;1696,275425;1069,375575;4,193270206;1531,998079;4;26,17976181;36,90632992;31,16090813;11,28348247;82,22858319;200,7740064;47,20428536;25,95156679;13,30943674;225,9252117;7,781587096;2005
0;662,5655818;3,594369923;0,066256558;192,7502907;247,6256476;0,895577013;5071,45535;4;26,00925598;85,6342657;21,47569579;15,95147356;80,00395453;166,5312712;519,8686832;9,723127506;12,16081874;86,05023965;5,82313782;2005
0;602,214696;1,095245607;0,06022147;581,8633747;374,3836693;1,338879943;1041,18631;15;30,84726292;89,08170373;5,668698461;9,620317328;62,39030684;33,87157973;1008,601732;6,517190107;10,65083126;130,6213895;15,45110522;2005
0;799,6675912;4,381756178;0,079966759;8188,197668;733,1733549;0,672481;4064,133624;4;24,80060018;80,90513182;29,33243249;13,77776958;38,22545156;157,3377842;628,6170576;24,2572732;4,387890427;170,3180164;10,02493233;2005
0;640,1906638;3,101391026;0,064019066;2981,356961;286,9681353;0,895577013;6891,225867;4;21,87959276;74,09935872;31,03407769;12,02674697;90,38324646;102,0845862;952,4714638;4,950443128;12,34890102;112,5163537;8,044287406;2005
